narration,amount,date
payment to subway for takeout ref#1299,80.0,2026-02-28
spotify purchase movie tickets,73.4,2026-02-08
home depot - shoes ref#1787,400.0,2026-02-24
albertsons purchase produce,71.11,2026-02-25
delivery at mcdonalds,46.59,2026-02-18
ubereats - coffee,29.49,2026-02-10
walmart wipes,85.79,2026-02-22
chevron fuel,48.82,2026-02-19
metro transit pass,45.33,2026-02-07
subway purchase dinner,36.57,2026-02-19
prescription pickup at cvs pharmacy,362.68,2026-02-24
payment to trader joes for deli,124.53,2026-02-12
payment to target for clothing ref#1140,245.58,2026-02-24
furniture at amazon ref#3581,264.53,2026-02-13
parking fee at metro ref#1643,63.27,2026-02-10
publix purchase grocery,225.27,2026-02-25
spectrum purchase phone service,226.53,2026-02-27
prescription pickup at dr smith clinic ref#4073,144.21,2026-02-10
payment to rite aid for prescription pickup ref#1940,305.3,2026-02-02
payment to electric company for bill payment,220.84,2026-02-12
bakery at walmart ref#4005,167.36,2026-02-01
payment to whole foods for bakery,100.51,2026-02-18
produce at walmart,198.6,2026-02-19
payment to verizon for monthly service ref#3064,141.68,2026-02-13
payment to netflix for monthly subscription ref#5480,41.36,2026-02-26
walmart - stroller,87.75,2026-02-16
kroger - meat department ref#4100,192.45,2026-02-25
cvs pharmacy purchase copay,226.88,2026-02-06
bill payment at att,186.39,2026-02-06
payment to verizon for bill payment,207.42,2026-02-26
dr smith clinic - lab work,239.51,2026-03-01
payment to whole foods for produce ref#6393,203.64,2026-02-19
pizza hut - takeout ref#4864,58.63,2026-02-18
wire transfer 2527,427.88,2026-02-27
olive garden purchase lunch ref#5790,38.54,2026-02-07
olive garden purchase dinner,34.92,2026-02-25
pizza hut delivery,27.34,2026-02-03
subway purchase delivery,49.54,2026-02-06
payment to netflix for game purchase ref#3637,150.0,2026-02-15
doordash - lunch,56.06,2026-02-01
payment to subway for lunch ref#5460,33.29,2026-02-28
movie tickets at netflix ref#9408,90.26,2026-02-02
hulu streaming service ref#1971,62.92,2026-02-15
produce at whole foods ref#8315,82.09,2026-02-07
walmart wipes,35.56,2026-02-02
olive garden coffee,23.35,2026-02-10
costco purchase bakery,250.0,2026-02-12
parking garage purchase toll,30.3,2026-02-16
verizon - internet,160.57,2026-02-26
payment to walgreens for checkup,199.64,2026-02-28
ubereats - delivery,41.41,2026-02-28
lyft fuel,66.07,2026-02-27
payment to rite aid for checkup,317.99,2026-02-14
netflix - monthly subscription,98.44,2026-02-09
payment to metro for toll,58.66,2026-02-16
check deposit # 7297,31.27,2026-02-05
payment to spotify for concert tickets ref#9924,58.16,2026-02-15
whole foods - meat department,180.32,2026-03-02
deli at publix ref#2114,129.86,2026-03-01
wire transfer 9829,154.18,2026-02-05
whole foods - meat department,88.18,2026-02-24
payment to comcast for monthly service,100.08,2026-02-15
monthly service at spectrum ref#5831,228.56,2026-02-24
chevron purchase gas,46.23,2026-02-05
takeout at ubereats,39.17,2026-02-17
cable at electric company,300.0,2026-02-19
cash deposit 3859,476.69,2026-02-19
taxi - toll,31.06,2026-02-18
electric company - cable,245.34,2026-02-14
payment to publix for bread milk eggs,122.02,2026-02-28
ride to at taxi,92.52,2026-02-03
trader joes weekly shopping ref#3071,96.97,2026-02-14
kroger bakery,193.22,2026-02-16
movie tickets at playstation ref#2263,68.38,2026-02-02
bp purchase ride to,61.52,2026-02-18
walgreens purchase checkup ref#7003,168.77,2026-02-22
costco purchase weekly shopping,117.19,2026-02-22
doordash - dinner,43.24,2026-02-03
costco purchase bread milk eggs ref#5056,127.95,2026-02-10
whole foods grocery,250.0,2026-02-21
cvs pharmacy - checkup,165.75,2026-02-02
hospital - copay,411.57,2026-02-23
subway delivery ref#4309,24.31,2026-03-01
payment to albertsons for deli,250.0,2026-02-01
payment to concert venue for movie tickets,49.41,2026-02-05
produce at kroger ref#5569,128.07,2026-02-28
payment to doordash for breakfast ref#3473,59.48,2026-02-10
coffee at starbucks,18.94,2026-02-03
payment to chipotle for takeout,22.84,2026-02-08
concert venue movie tickets,61.54,2026-02-02
bp purchase transit pass,29.83,2026-02-07
gas at chevron ref#1389,59.69,2026-02-17
payment to dental office for x-ray,327.73,2026-02-19
meat department at walmart,86.36,2026-02-01
concert venue monthly subscription,61.7,2026-02-14
safeway purchase grocery,107.96,2026-02-01
metro purchase ride to,99.67,2026-02-25
payment to parking garage for ride to ref#7728,62.18,2026-02-22
payment to verizon for phone service,211.92,2026-02-09
costco bread milk eggs,157.16,2026-02-16
payment to amc theaters for monthly subscription,89.83,2026-02-18
costco - bread milk eggs,58.79,2026-02-03
disney plus purchase streaming service ref#5073,139.33,2026-02-23
prescription pickup at rite aid,316.39,2026-02-19
payment to pizza hut for breakfast,44.6,2026-02-23
urgent care consultation fee,175.98,2026-02-10
toll at shell,73.83,2026-02-10
payment to comcast for monthly service,64.17,2026-02-25
ubereats purchase delivery ref#2959,55.34,2026-02-13
payment to netflix for monthly subscription,56.15,2026-02-22
payment to acme corp 1592,83.51,2026-02-22
nordstrom home goods,145.12,2026-02-18
mobile deposit 7175,444.85,2026-02-20
payment to spotify for concert tickets ref#4065,100.76,2026-02-22
parking fee at bp,94.74,2026-02-13
weekly shopping at kroger ref#4298,76.16,2026-03-02
cash deposit 1006,467.04,2026-02-28
albertsons weekly shopping,50.15,2026-02-25
payment to dr smith clinic for consultation fee ref#1503,459.54,2026-03-01
wire transfer 9681,50.68,2026-02-28
payment to chipotle for takeout,49.75,2026-02-05
hospital purchase checkup,154.87,2026-02-07
check deposit # 1959,260.29,2026-02-20
cvs pharmacy checkup,500.0,2026-02-15
grocery at walmart,197.43,2026-02-09
home depot - home goods,400.0,2026-02-07
payment to verizon for phone service,107.27,2026-02-12
trader joes purchase weekly shopping,250.0,2026-02-05
walgreens medicine,500.0,2026-02-28
doordash coffee,61.05,2026-02-11
buybuybaby crib ref#8986,78.98,2026-02-06
metro purchase toll,29.01,2026-02-08
payment to costco for produce,137.84,2026-02-24
publix - produce,250.0,2026-02-20
streaming service at spotify,150.0,2026-02-06
bp - toll ref#3640,38.3,2026-02-13
coffee at chipotle ref#5071,42.07,2026-03-02
bp ride to,53.69,2026-03-01
disney plus - game purchase ref#8408,81.01,2026-02-03
lyft purchase gas,42.34,2026-02-24
hulu streaming service,90.41,2026-02-22
breakfast at mcdonalds,48.53,2026-02-09
payment to bp for ride to,96.55,2026-02-15
amc theaters movie tickets ref#2576,150.0,2026-02-13
chevron purchase gas ref#2038,40.46,2026-02-27
best buy home goods,193.08,2026-03-02
breakfast at pizza hut,73.52,2026-02-03
macys home goods,400.0,2026-02-25
payment to metro for parking fee ref#5985,61.75,2026-02-04
parking garage toll ref#6126,92.84,2026-02-20
payment to nike for home goods ref#4157,246.44,2026-02-12
payment to acme corp 1237,38.63,2026-02-22
dinner at pizza hut,43.65,2026-02-21
whole foods deli,211.2,2026-02-09
payment to buybuybaby for bottles,130.52,2026-02-08
rite aid purchase checkup,291.42,2026-02-12
electric company purchase phone service,300.0,2026-02-19
taxi - gas ref#8438,100.0,2026-02-17
dinner at starbucks,34.71,2026-02-16
monthly subscription at netflix,124.93,2026-02-21
medicine at walgreens ref#4611,500.0,2026-02-13
concert venue purchase movie tickets,69.28,2026-02-07
ubereats purchase breakfast,80.0,2026-02-01
cvs pharmacy purchase consultation fee ref#9189,436.82,2026-02-07
monthly subscription at spotify,69.5,2026-02-15
bakery at trader joes,130.5,2026-02-22
dinner at olive garden,24.75,2026-02-23
whole foods purchase produce,110.5,2026-02-16
doordash - dinner,35.87,2026-02-08
electric company internet,233.98,2026-02-15
playstation - streaming service,20.55,2026-02-17
spotify - concert tickets,150.0,2026-02-27
shell purchase fuel,76.09,2026-02-26
walmart weekly shopping,170.07,2026-02-27
cash deposit 7763,217.86,2026-02-28
olive garden - takeout,26.62,2026-02-16
payment to cvs pharmacy for x-ray,244.53,2026-02-18
delivery at mcdonalds,32.59,2026-02-09
urgent care - prescription pickup,222.55,2026-02-26
online order at best buy,358.31,2026-02-17
whole foods grocery,250.0,2026-02-12
payment to pizza hut for takeout ref#7112,57.5,2026-02-28
bread milk eggs at kroger,119.95,2026-02-09
home depot clothing,326.48,2026-02-23
kroger purchase grocery,250.0,2026-02-21
payment to doordash for coffee,35.31,2026-02-18
taxi purchase fuel,84.71,2026-02-20
water company - bill payment ref#6650,235.84,2026-02-19
payment to spotify for movie tickets,101.55,2026-03-01
payment to doordash for delivery ref#1507,38.01,2026-02-09
payment to dental office for medicine ref#3638,163.69,2026-02-27
albertsons deli,154.23,2026-02-25
playstation game purchase ref#9880,56.72,2026-02-16
metro - toll,45.28,2026-02-19
rite aid x-ray ref#6767,284.75,2026-02-22
mcdonalds purchase breakfast,28.91,2026-02-28
dental office - checkup,448.69,2026-02-25
payment to nordstrom for electronics,400.0,2026-02-03
payment to safeway for deli ref#3895,109.01,2026-02-15
kroger purchase bread milk eggs,250.0,2026-02-16
payment to dr smith clinic for checkup,216.48,2026-02-15
albertsons bakery,85.59,2026-02-11
amc theaters purchase game purchase,56.91,2026-02-28
safeway - produce,160.07,2026-02-02
payment to chipotle for lunch,80.0,2026-02-06
check deposit # 8395,173.11,2026-02-08
amc theaters purchase game purchase,78.66,2026-02-24
onesie at babies r us,31.54,2026-02-02
netflix purchase concert tickets,51.09,2026-02-02
electronics at ikea ref#7998,123.8,2026-02-12
target purchase onesie,40.53,2026-02-16
subway takeout ref#7874,48.61,2026-02-18
subway - takeout,24.94,2026-02-06
concert venue purchase monthly subscription,67.08,2026-03-02
deli at publix,90.12,2026-02-07
verizon purchase phone service ref#9141,110.13,2026-02-03
publix - bread milk eggs,104.03,2026-02-11
pg&e internet,177.27,2026-02-05
olive garden - dinner,44.99,2026-02-09
takeout at chipotle,69.53,2026-02-14
att - bill payment,70.58,2026-02-20
payment to dr smith clinic for x-ray,461.92,2026-02-06
water company cable,111.88,2026-02-27
olive garden - takeout,9.05,2026-02-07
starbucks purchase takeout,64.13,2026-02-20
nordstrom - electronics,213.02,2026-02-02
spotify purchase concert tickets,66.91,2026-02-01
bill payment at water company,132.47,2026-02-16
metro transit pass,31.75,2026-02-07
safeway purchase meat department ref#1494,161.63,2026-02-07
payment to disney plus for concert tickets,88.34,2026-02-25
olive garden purchase delivery,80.0,2026-02-17
bill payment at verizon ref#8642,182.67,2026-02-17
dinner at mcdonalds ref#9872,37.87,2026-02-26
shell purchase toll,50.44,2026-02-21
nordstrom purchase home goods,354.29,2026-02-19
payment to buybuybaby for wipes,150.0,2026-02-11
coffee at doordash,46.27,2026-02-22
pizza hut - breakfast,29.06,2026-02-02
walmart - deli,106.21,2026-02-04
payment to pizza hut for breakfast,29.22,2026-02-24
payment to costco for produce,83.34,2026-02-09
copay at urgent care,147.4,2026-02-18
payment to spotify for game purchase ref#2004,64.59,2026-02-02
concert tickets at playstation,139.27,2026-02-17
payment to mcdonalds for lunch,49.94,2026-02-26
payment to babies r us for pacifier,50.98,2026-02-01
wire transfer 4392,153.73,2026-02-12
walgreens purchase copay,208.81,2026-02-21
copay at dr smith clinic,135.78,2026-02-03
uber purchase gas ref#2530,64.56,2026-02-17
bread milk eggs at safeway,176.7,2026-02-12
steam monthly subscription,128.91,2026-02-18
starbucks delivery,62.4,2026-02-04
parking fee at chevron,28.7,2026-02-13
babies r us purchase pampers diapers ref#8043,150.0,2026-02-21
lyft - gas,49.5,2026-02-23
albertsons purchase deli ref#3384,175.44,2026-02-02
metro - parking fee,99.32,2026-02-07
payment to trader joes for bread milk eggs ref#8955,83.21,2026-02-06
mcdonalds purchase delivery,80.0,2026-03-02
coffee at mcdonalds,80.0,2026-03-02
pizza hut purchase delivery ref#4976,77.36,2026-02-13
shoes at nike,400.0,2026-02-25
cable at verizon ref#1609,91.5,2026-02-01
lunch at starbucks,80.0,2026-02-28
att purchase cable,140.22,2026-02-04
uber purchase gas,39.14,2026-02-28
online order at nike ref#9144,250.78,2026-02-05
albertsons produce,120.1,2026-02-25
verizon bill payment ref#4411,255.18,2026-02-11
kroger purchase deli ref#8908,250.0,2026-02-22
payment to whole foods for deli,129.15,2026-02-07
lab work at urgent care,329.93,2026-02-26
doordash - coffee,61.8,2026-02-14
olive garden purchase dinner,80.0,2026-02-02
payment to netflix for movie tickets ref#8031,93.87,2026-02-21
walmart onesie,85.03,2026-02-06
walmart - bakery ref#7004,128.37,2026-02-23
payment to amc theaters for concert tickets,71.5,2026-02-18
payment to playstation for concert tickets,55.2,2026-02-11
bread milk eggs at kroger,114.73,2026-02-20
shoes at nike,116.5,2026-02-15
concert venue - streaming service,31.78,2026-02-06
pizza hut takeout ref#7014,47.27,2026-02-05
costco - bakery,116.48,2026-02-18
playstation purchase game purchase,98.96,2026-02-02
target online order ref#1771,170.59,2026-02-22
takeout at subway ref#8265,17.1,2026-02-17
safeway purchase meat department ref#5863,215.14,2026-02-06
payment to walmart for weekly shopping ref#5107,50.0,2026-02-20
parking fee at taxi,94.28,2026-02-23
ikea - electronics,171.45,2026-02-12
takeout at ubereats,60.18,2026-02-26
whole foods meat department,142.41,2026-02-20
shell transit pass,31.83,2026-02-14
pacifier at babies r us,150.0,2026-02-28
atm withdrawal 3294,416.63,2026-02-08
fuel at bp,54.74,2026-02-09
coffee at pizza hut,74.65,2026-02-27
amc theaters - streaming service ref#1451,38.1,2026-02-27
payment to acme corp 6889,30.67,2026-02-13
albertsons weekly shopping ref#6003,168.29,2026-03-02
streaming service at playstation,75.79,2026-02-12
payment to macys for clothing,400.0,2026-02-21
payment to hulu for streaming service,150.0,2026-02-22
payment to costco for meat department ref#9518,198.69,2026-02-11
concert tickets at disney plus,65.35,2026-02-01
transit pass at taxi,72.78,2026-02-18
urgent care prescription pickup,293.84,2026-02-21
coffee at starbucks,29.79,2026-02-04
target purchase pampers diapers,99.02,2026-03-01
cable at verizon,92.5,2026-03-01
payment to concert venue for monthly subscription ref#5854,31.82,2026-02-11
rite aid - x-ray,192.56,2026-02-02
netflix purchase concert tickets ref#1246,119.91,2026-02-27
payment to olive garden for breakfast ref#7131,52.56,2026-02-23
payment to buybuybaby for bottles,90.24,2026-02-10
walmart baby food,33.77,2026-02-10
clothing at best buy,258.66,2026-02-02
ikea online order,119.85,2026-02-19
starbucks - coffee ref#5213,43.31,2026-02-07
payment to acme corp 6393,444.32,2026-02-24
ubereats purchase takeout,73.98,2026-02-15
coffee at olive garden,67.0,2026-02-25
chipotle - dinner,80.0,2026-02-06
whole foods - bakery,114.12,2026-02-01
monthly subscription at spotify ref#7033,56.56,2026-02-17
uber - ride to,64.7,2026-02-25
payment to home depot for home goods,102.55,2026-02-01
chipotle - lunch,22.52,2026-02-01
doordash - lunch,44.89,2026-02-19
whole foods - grocery,180.27,2026-02-28
safeway weekly shopping,250.0,2026-02-28
electric company internet,138.1,2026-02-26
safeway purchase bakery ref#7340,250.0,2026-02-13
payment to subway for delivery,62.93,2026-02-10
whole foods - meat department ref#4889,250.0,2026-02-10
payment to costco for meat department,250.0,2026-02-14
shell - transit pass ref#7265,30.0,2026-02-21
game purchase at concert venue ref#1126,122.86,2026-03-02
payment to verizon for monthly service,50.0,2026-03-01
formula at babies r us,53.04,2026-02-01
payment to att for phone service,156.58,2026-02-08
walmart purchase onesie,60.08,2026-02-27
publix - weekly shopping,183.85,2026-03-02
payment to babies r us for stroller,150.0,2026-02-07
parking garage - gas,39.48,2026-02-23
publix grocery,218.5,2026-02-26
amc theaters concert tickets,61.95,2026-02-15
starbucks purchase lunch ref#9783,80.0,2026-02-22
payment to amazon for clothing,400.0,2026-02-12
albertsons purchase deli ref#1501,77.85,2026-02-08
crib at babies r us ref#3104,63.65,2026-02-16
payment to walmart for wipes,116.59,2026-02-05
chipotle purchase lunch,40.07,2026-02-01
atm withdrawal 4940,247.38,2026-02-10
payment to playstation for monthly subscription,51.41,2026-02-18
doordash dinner ref#4595,70.32,2026-02-14
walmart weekly shopping,250.0,2026-02-16
dinner at starbucks,43.71,2026-02-05
transit pass at bp,22.14,2026-02-17
payment to pg&e for phone service,162.14,2026-02-09
furniture at nordstrom,120.39,2026-02-21
streaming service at spotify,25.78,2026-02-06
payment to costco for weekly shopping,224.05,2026-02-26
spectrum - bill payment,98.63,2026-02-25
nordstrom - electronics,138.71,2026-02-16
payment to trader joes for grocery,154.0,2026-02-13
pizza hut lunch,37.65,2026-02-02
amazon purchase wipes ref#8791,125.63,2026-02-22
parking garage purchase fuel,55.12,2026-02-22
olive garden breakfast,24.84,2026-02-21
disney plus purchase game purchase,150.0,2026-02-12
furniture at macys,394.79,2026-02-09
chevron purchase toll ref#2870,81.63,2026-02-23
amazon - online order,229.5,2026-02-20
doordash - lunch,52.61,2026-02-18
buybuybaby purchase bottles,53.45,2026-03-02
payment to publix for deli,176.05,2026-02-09
amc theaters game purchase,145.53,2026-02-14
payment to albertsons for grocery,85.94,2026-02-13
payment to kroger for grocery,128.73,2026-02-27
uber - gas,18.66,2026-02-23
payment to acme corp 3066,346.18,2026-02-05
taxi purchase toll,93.15,2026-02-23
bread milk eggs at kroger ref#3830,107.44,2026-02-23
venmo payment 6259,152.47,2026-02-04
payment to nordstrom for home goods ref#4402,138.78,2026-02-10
safeway weekly shopping,232.04,2026-02-10
steam - game purchase,93.25,2026-02-23
weekly shopping at albertsons,171.52,2026-02-01
olive garden dinner,60.3,2026-02-03
fuel at metro,18.7,2026-02-11
payment to mcdonalds for lunch,35.08,2026-02-26
playstation movie tickets ref#5437,73.01,2026-02-17
walmart bakery ref#8563,250.0,2026-02-01
payment to bp for ride to,71.52,2026-02-09
doordash takeout,29.72,2026-02-11
whole foods weekly shopping ref#7249,59.67,2026-02-16
electric company purchase bill payment ref#8978,174.33,2026-03-01
safeway - weekly shopping,250.0,2026-02-01
amazon - electronics,400.0,2026-02-13
produce at albertsons ref#2530,124.38,2026-02-26
subway purchase breakfast,42.89,2026-02-04
breakfast at chipotle,25.75,2026-02-05
verizon purchase internet ref#4396,189.8,2026-02-22
payment to playstation for streaming service ref#9325,150.0,2026-02-23
publix - bakery,250.0,2026-02-18
payment to walgreens for medicine,193.17,2026-02-06
costco produce,89.17,2026-02-08
transfer to john doe 6144,64.48,2026-02-04
payment to albertsons for bread milk eggs,155.54,2026-02-08
dental office purchase prescription pickup,265.81,2026-02-12
att - cable,74.47,2026-02-08
shell toll,71.27,2026-02-15
hospital - x-ray,113.89,2026-02-19
bakery at walmart,136.19,2026-02-23
starbucks dinner ref#4823,43.91,2026-02-18
nordstrom - shoes,110.01,2026-02-26
spotify - movie tickets,150.0,2026-03-02
mcdonalds lunch,14.53,2026-02-14
produce at walmart,250.0,2026-02-01
movie tickets at steam,45.52,2026-02-03
concert venue movie tickets,89.43,2026-02-07
whole foods - weekly shopping,250.0,2026-02-01
payment to shell for parking fee,26.08,2026-02-25
payment to uber for parking fee,31.14,2026-02-17
ubereats delivery,48.12,2026-02-20
macys - home goods,400.0,2026-02-20
olive garden purchase takeout,52.66,2026-02-14
bread milk eggs at trader joes ref#9277,246.4,2026-03-02
comcast bill payment,140.09,2026-02-05
lyft transit pass ref#1722,68.09,2026-02-20
delivery at olive garden ref#9778,27.89,2026-02-16
amazon shoes ref#7397,289.92,2026-02-03
parking garage - toll ref#8864,65.22,2026-02-20
payment to best buy for online order ref#4687,396.29,2026-02-07
transfer to john doe 2236,212.43,2026-02-14
payment to mcdonalds for coffee,69.13,2026-02-19
payment to trader joes for weekly shopping ref#6929,67.85,2026-03-02
doordash delivery ref#3015,20.1,2026-02-21
payment to dental office for consultation fee,369.66,2026-02-03
payment to concert venue for streaming service,44.57,2026-02-25
payment to best buy for online order,240.34,2026-02-11
subway delivery ref#5831,31.18,2026-02-10
home depot - home goods,400.0,2026-02-27
target pacifier,67.09,2026-02-06
copay at walgreens,309.69,2026-02-17
venmo payment 8314,40.57,2026-02-27
concert tickets at spotify ref#1504,62.14,2026-02-14
macys - shoes,366.99,2026-02-19
movie tickets at spotify,60.2,2026-02-25
metro - transit pass,30.02,2026-02-01
amc theaters game purchase ref#5099,52.77,2026-02-09
doordash breakfast ref#9587,19.67,2026-02-12
payment to comcast for cable,300.0,2026-03-01
playstation - game purchase ref#2251,150.0,2026-02-09
best buy - home goods,322.85,2026-02-05
takeout at mcdonalds,80.0,2026-02-01
amc theaters - movie tickets,115.39,2026-02-04
payment to metro for transit pass ref#3878,100.0,2026-02-15
amazon purchase electronics,189.02,2026-03-01
payment to taxi for fuel ref#8006,42.74,2026-02-04
payment to lyft for transit pass,86.84,2026-02-14
nike purchase electronics,291.69,2026-02-19
ubereats - dinner,65.58,2026-02-27
payment to costco for deli ref#1433,134.13,2026-02-19
payment to acme corp 2387,127.39,2026-02-08
costco purchase deli,169.67,2026-02-17
netflix - movie tickets,121.69,2026-02-11
whole foods produce,87.93,2026-02-13
payment to target for formula,119.14,2026-02-11
payment to nike for online order ref#3950,202.38,2026-02-10
att - monthly service,82.2,2026-02-24
comcast - cable,95.46,2026-02-03
pizza hut delivery,64.5,2026-02-02
produce at trader joes ref#3855,180.52,2026-02-20
payment to target for baby lotion,145.79,2026-02-01
mcdonalds dinner,23.68,2026-02-17
shell purchase toll,100.0,2026-02-10
payment to ubereats for lunch,16.79,2026-02-07
urgent care medicine,220.84,2026-02-01
spectrum cable,300.0,2026-02-20
pampers diapers at buybuybaby ref#8132,150.0,2026-02-06
bakery at costco,198.69,2026-02-07
spectrum purchase bill payment ref#6243,248.21,2026-02-14
payment to disney plus for game purchase,45.47,2026-02-07
chevron purchase toll,96.71,2026-02-17
walmart purchase weekly shopping ref#5278,231.9,2026-02-17
trader joes grocery,170.23,2026-02-24
payment to ubereats for lunch,32.29,2026-02-02
mcdonalds dinner,39.35,2026-02-07
comcast internet,149.21,2026-02-01
pizza hut coffee,36.53,2026-02-21
bp parking fee ref#5384,56.88,2026-02-05
lyft purchase toll ref#8538,25.77,2026-02-23
lunch at starbucks,36.35,2026-02-12
wire transfer 6989,484.41,2026-02-04
dinner at starbucks,80.0,2026-02-11
mcdonalds - takeout,70.9,2026-02-16
subway delivery ref#9459,54.49,2026-02-16
payment to safeway for meat department,82.16,2026-02-03
amc theaters - movie tickets ref#3464,53.75,2026-02-20
home goods at nike,377.66,2026-02-16
playstation movie tickets,132.15,2026-02-14
babies r us purchase baby lotion,150.0,2026-02-03
payment to playstation for monthly subscription,51.18,2026-02-07
playstation game purchase ref#8587,150.0,2026-02-14
publix - deli,129.64,2026-02-08
payment to amazon for wipes ref#6949,133.16,2026-03-02
whole foods grocery ref#6049,120.45,2026-02-26
playstation movie tickets ref#6479,42.74,2026-02-27
metro parking fee ref#6797,100.0,2026-02-26
lyft purchase toll,79.3,2026-02-20
shoes at amazon,249.02,2026-02-09
grocery at costco,103.03,2026-02-09
spectrum purchase bill payment ref#6107,123.62,2026-02-07
pizza hut - lunch ref#3104,67.34,2026-02-13
payment to costco for deli,250.0,2026-02-14
delivery at starbucks,69.26,2026-02-04
