narration,amount,date,true_category
payment to costco for bakery,210.01,2026-03-01,Groceries
ikea shoes ref#3196,160.76,2026-02-26,Shopping
hospital - medicine,388.54,2026-02-08,Healthcare
cvs pharmacy purchase x-ray,500.0,2026-02-04,Healthcare
disney plus concert tickets,69.39,2026-02-06,Entertainment
starbucks breakfast,25.84,2026-02-16,Restaurants
mcdonalds - coffee,30.92,2026-02-12,Restaurants
rite aid purchase lab work,354.0,2026-02-11,Healthcare
meat department at publix,68.23,2026-02-02,Groceries
shell - parking fee,29.52,2026-02-17,Transportation
deli at walmart ref#1668,118.83,2026-02-20,Groceries
olive garden purchase takeout,27.17,2026-02-25,Restaurants
furniture at home depot,107.87,2026-02-03,Shopping
x-ray at rite aid,479.94,2026-02-23,Healthcare
hulu - concert tickets,18.66,2026-02-25,Entertainment
toll at uber ref#2884,53.52,2026-02-13,Transportation
netflix - movie tickets ref#7809,30.22,2026-02-01,Entertainment
bread milk eggs at safeway,83.52,2026-02-15,Groceries
monthly service at comcast,213.57,2026-02-19,Utilities
delivery at ubereats,45.16,2026-02-05,Restaurants
kroger - weekly shopping,149.85,2026-02-05,Groceries
grocery at kroger,74.73,2026-03-01,Groceries
coffee at starbucks,15.93,2026-02-25,Restaurants
payment to rite aid for copay ref#3248,277.92,2026-02-24,Healthcare
crib at target,150.0,2026-02-03,Baby Items
payment to starbucks for breakfast,51.55,2026-02-28,Restaurants
check deposit # 1963,38.62,2026-02-13,Unknown
safeway - deli,132.76,2026-02-09,Groceries
albertsons - deli,101.67,2026-02-19,Groceries
game purchase at hulu,59.62,2026-02-01,Entertainment
venmo payment 2487,342.8,2026-02-13,Unknown
cable at spectrum,271.82,2026-02-10,Utilities
payment to disney plus for movie tickets ref#8800,67.92,2026-02-15,Entertainment
home depot purchase shoes ref#7926,289.63,2026-02-03,Shopping
pg&e - phone service ref#5399,242.33,2026-02-05,Utilities
payment to rite aid for checkup,500.0,2026-03-02,Healthcare
transit pass at parking garage,75.73,2026-02-27,Transportation
formula at target,150.0,2026-02-07,Baby Items
costco produce,169.23,2026-02-25,Groceries
steam streaming service,73.96,2026-02-04,Entertainment
parking fee at taxi,23.71,2026-02-02,Transportation
best buy - online order,144.72,2026-02-04,Shopping
home goods at best buy,276.73,2026-02-12,Shopping
kroger weekly shopping,52.1,2026-02-02,Groceries
water company monthly service,109.79,2026-02-20,Utilities
walmart - produce,228.14,2026-02-10,Groceries
baby lotion at walmart,84.14,2026-02-07,Baby Items
bakery at safeway ref#9081,204.7,2026-02-22,Groceries
lab work at urgent care,116.44,2026-02-20,Healthcare
whole foods purchase meat department,228.13,2026-03-01,Groceries
pacifier at target,37.82,2026-02-22,Baby Items
chevron purchase fuel ref#3457,62.07,2026-02-19,Transportation
walmart purchase stroller ref#8591,150.0,2026-02-27,Baby Items
deli at safeway,66.79,2026-02-19,Groceries
wire transfer 6787,154.65,2026-02-03,Unknown
medicine at dental office,108.85,2026-02-18,Healthcare
publix weekly shopping,58.15,2026-02-17,Groceries
payment to amc theaters for movie tickets,58.38,2026-03-02,Entertainment
prescription pickup at urgent care,393.65,2026-02-20,Healthcare
furniture at ikea ref#8287,322.39,2026-02-27,Shopping
steam streaming service ref#9616,64.2,2026-02-15,Entertainment
doordash - lunch ref#7699,59.53,2026-02-25,Restaurants
cash deposit 1766,302.16,2026-02-25,Unknown
target pacifier,66.59,2026-02-21,Baby Items
amc theaters purchase concert tickets,58.68,2026-02-24,Entertainment
lyft purchase parking fee,42.35,2026-02-16,Transportation
walmart purchase meat department,112.27,2026-02-18,Groceries
albertsons deli,223.69,2026-02-14,Groceries
parking garage - parking fee,45.94,2026-02-24,Transportation
payment to whole foods for grocery ref#7360,212.03,2026-02-05,Groceries
home goods at nike ref#1086,356.15,2026-02-28,Shopping
taxi purchase fuel,59.57,2026-02-01,Transportation
albertsons - bread milk eggs,250.0,2026-02-02,Groceries
whole foods deli,109.72,2026-02-07,Groceries
payment to olive garden for delivery,63.47,2026-02-10,Restaurants
dental office purchase checkup,152.12,2026-02-09,Healthcare
walmart weekly shopping,250.0,2026-02-08,Groceries
starbucks - takeout,41.57,2026-02-23,Restaurants
deli at walmart,167.33,2026-02-10,Groceries
check deposit # 7845,329.43,2026-02-21,Unknown
payment to doordash for dinner,42.06,2026-02-23,Restaurants
ikea clothing,383.26,2026-02-15,Shopping
amazon shoes ref#5990,191.95,2026-02-15,Shopping
checkup at walgreens ref#2206,126.07,2026-02-22,Healthcare
weekly shopping at publix,117.86,2026-02-18,Groceries
albertsons produce,132.79,2026-02-18,Groceries
coffee at chipotle,46.58,2026-02-15,Restaurants
payment to costco for weekly shopping,141.03,2026-02-23,Groceries
walmart onesie,58.3,2026-02-01,Baby Items
mcdonalds dinner,69.6,2026-02-17,Restaurants
clothing at best buy,142.62,2026-02-28,Shopping
costco - weekly shopping ref#9080,119.73,2026-02-10,Groceries
electronics at nike,400.0,2026-02-08,Shopping
dinner at ubereats ref#2226,21.8,2026-02-05,Restaurants
cvs pharmacy - prescription pickup,125.93,2026-02-25,Healthcare
steam purchase game purchase,91.43,2026-02-09,Entertainment
payment to trader joes for meat department,89.25,2026-02-26,Groceries
bakery at costco,67.51,2026-02-21,Groceries
payment to bp for fuel,33.71,2026-02-20,Transportation
payment to ubereats for takeout,23.35,2026-02-21,Restaurants
payment to kroger for meat department,250.0,2026-02-01,Groceries
rite aid - medicine,292.28,2026-02-05,Healthcare
parking fee at metro ref#6093,16.93,2026-02-25,Transportation
lyft purchase toll,93.16,2026-02-07,Transportation
payment to target for home goods,110.75,2026-02-03,Shopping
produce at whole foods,250.0,2026-02-10,Groceries
olive garden - takeout ref#5599,34.25,2026-02-24,Restaurants
x-ray at rite aid,183.27,2026-02-14,Healthcare
hospital lab work,306.69,2026-02-24,Healthcare
kroger - deli,226.76,2026-02-18,Groceries
dental office purchase checkup ref#9766,115.09,2026-02-15,Healthcare
pg&e monthly service,117.95,2026-02-11,Utilities
olive garden - coffee ref#2571,53.88,2026-02-20,Restaurants
taxi - ride to,81.12,2026-02-26,Transportation
nordstrom electronics,400.0,2026-02-24,Shopping
buybuybaby purchase baby food,74.38,2026-02-25,Baby Items
zelle transfer 9972,76.35,2026-02-05,Unknown
payment to amazon for online order,192.45,2026-02-17,Shopping
payment to doordash for dinner ref#1839,67.32,2026-02-25,Restaurants
trader joes - produce,250.0,2026-03-01,Groceries
whole foods purchase bread milk eggs,78.42,2026-02-19,Groceries
hulu movie tickets,82.06,2026-02-04,Entertainment
amazon home goods,316.31,2026-02-13,Shopping
whole foods weekly shopping,250.0,2026-02-22,Groceries
disney plus movie tickets,50.66,2026-02-11,Entertainment
buybuybaby onesie,150.0,2026-02-04,Baby Items
subway delivery ref#5479,21.79,2026-02-11,Restaurants
costco bakery ref#1343,168.25,2026-02-07,Groceries
payment to hospital for copay ref#5235,180.51,2026-02-06,Healthcare
verizon - phone service,229.36,2026-02-26,Utilities
chipotle - delivery,43.93,2026-02-16,Restaurants
att - monthly service ref#8532,173.02,2026-02-08,Utilities
payment to home depot for electronics ref#7320,136.32,2026-02-10,Shopping
pizza hut - coffee,22.49,2026-02-13,Restaurants
chipotle takeout ref#7858,50.8,2026-02-16,Restaurants
consultation fee at dental office ref#5728,208.19,2026-02-03,Healthcare
payment to amc theaters for game purchase,114.0,2026-02-13,Entertainment
macys - online order,261.27,2026-02-28,Shopping
parking garage gas,88.22,2026-02-28,Transportation
shell - gas,24.91,2026-02-14,Transportation
spectrum purchase bill payment ref#4449,130.04,2026-02-23,Utilities
walmart bottles,85.2,2026-02-13,Baby Items
costco purchase bakery,140.59,2026-02-26,Groceries
nordstrom home goods ref#3860,153.83,2026-02-11,Shopping
walgreens x-ray,291.95,2026-02-01,Healthcare
gas at metro,35.64,2026-03-01,Transportation
starbucks purchase coffee ref#1297,72.79,2026-02-24,Restaurants
fuel at uber,100.0,2026-02-05,Transportation
dinner at chipotle,53.31,2026-02-10,Restaurants
whole foods purchase bakery,45.94,2026-02-25,Groceries
payment to disney plus for movie tickets ref#3945,134.0,2026-02-19,Entertainment
dental office - consultation fee,263.65,2026-02-17,Healthcare
electronics at nordstrom,79.93,2026-03-01,Shopping
doordash - lunch,35.88,2026-02-28,Restaurants
game purchase at netflix,95.33,2026-02-19,Entertainment
rite aid checkup,150.83,2026-02-08,Healthcare
payment to walmart for crib ref#4317,84.51,2026-02-07,Baby Items
costco - deli,130.03,2026-02-01,Groceries
subway dinner,26.11,2026-02-28,Restaurants
verizon - phone service,135.18,2026-02-18,Utilities
safeway purchase bakery ref#1056,196.71,2026-02-09,Groceries
dr smith clinic purchase lab work,200.05,2026-02-09,Healthcare
olive garden - breakfast ref#3137,66.59,2026-02-05,Restaurants
shell purchase toll,84.03,2026-02-27,Transportation
metro transit pass ref#9069,61.44,2026-02-20,Transportation
payment to concert venue for monthly subscription ref#1979,42.59,2026-02-12,Entertainment
payment to whole foods for bakery,188.92,2026-02-17,Groceries
ride to at chevron ref#3088,67.58,2026-02-11,Transportation
game purchase at concert venue,93.06,2026-02-22,Entertainment
playstation purchase concert tickets,150.0,2026-02-23,Entertainment
home depot - furniture,290.96,2026-02-08,Shopping
consultation fee at walgreens,189.85,2026-02-23,Healthcare
game purchase at amc theaters ref#4609,66.26,2026-02-03,Entertainment
payment to nike for clothing,145.97,2026-02-24,Shopping
macys purchase furniture,70.73,2026-02-19,Shopping
payment to urgent care for x-ray ref#4319,290.93,2026-03-02,Healthcare
macys shoes,366.33,2026-03-01,Shopping
pg&e - internet,165.34,2026-02-28,Utilities
payment to chipotle for takeout,80.0,2026-02-14,Restaurants
publix bakery,75.69,2026-02-19,Groceries
comcast - monthly service,158.03,2026-02-21,Utilities
payment to hospital for copay,193.84,2026-02-06,Healthcare
target - baby lotion ref#1371,116.0,2026-02-17,Baby Items
payment to albertsons for bakery,96.86,2026-02-26,Groceries
concert tickets at netflix ref#5756,141.77,2026-02-10,Entertainment
steam concert tickets ref#9097,97.64,2026-02-17,Entertainment
netflix - streaming service,94.82,2026-03-01,Entertainment
onesie at babies r us ref#7487,46.71,2026-02-23,Baby Items
trader joes purchase weekly shopping ref#9040,77.8,2026-02-07,Groceries
att - cable ref#9382,82.29,2026-02-06,Utilities
costco weekly shopping,87.73,2026-03-02,Groceries
medicine at cvs pharmacy,276.31,2026-02-07,Healthcare
walmart purchase pacifier,95.02,2026-02-22,Baby Items
amc theaters purchase game purchase,63.06,2026-02-27,Entertainment
meat department at trader joes,201.71,2026-02-22,Groceries
deli at albertsons ref#4598,139.17,2026-02-12,Groceries
shoes at nike,192.38,2026-02-13,Shopping
movie tickets at hulu,45.49,2026-02-27,Entertainment
lunch at starbucks,62.96,2026-02-08,Restaurants
coffee at starbucks,80.0,2026-02-14,Restaurants
nordstrom - furniture ref#2227,267.4,2026-02-18,Shopping
payment to whole foods for deli,228.01,2026-02-07,Groceries
doordash dinner ref#3252,41.13,2026-02-23,Restaurants
ikea purchase furniture ref#7647,354.63,2026-02-08,Shopping
costco - meat department ref#7291,250.0,2026-02-13,Groceries
ubereats - coffee,24.24,2026-02-17,Restaurants
payment to target for furniture,154.91,2026-02-27,Shopping
x-ray at dr smith clinic,312.46,2026-02-06,Healthcare
dinner at olive garden,25.41,2026-02-17,Restaurants
payment to publix for produce,89.96,2026-02-15,Groceries
payment to parking garage for gas ref#3028,64.69,2026-02-26,Transportation
payment to trader joes for meat department,114.81,2026-02-04,Groceries
payment to trader joes for bread milk eggs ref#1646,109.57,2026-02-27,Groceries
best buy purchase home goods,141.08,2026-02-15,Shopping
whole foods weekly shopping ref#4803,114.84,2026-02-15,Groceries
walmart - bakery,76.97,2026-02-02,Groceries
cvs pharmacy - copay,500.0,2026-02-21,Healthcare
ubereats - breakfast,65.77,2026-02-19,Restaurants
trader joes - bakery,173.49,2026-02-13,Groceries
mobile deposit 5797,437.24,2026-02-01,Unknown
cvs pharmacy purchase prescription pickup,403.81,2026-02-02,Healthcare
albertsons - bread milk eggs,181.57,2026-02-26,Groceries
bakery at publix,108.67,2026-02-27,Groceries
whole foods purchase grocery ref#6646,250.0,2026-02-08,Groceries
payment to walmart for crib,150.0,2026-02-22,Baby Items
bp - transit pass,66.1,2026-02-04,Transportation
takeout at pizza hut,27.5,2026-02-21,Restaurants
disney plus monthly subscription,81.48,2026-02-24,Entertainment
walmart produce,250.0,2026-02-01,Groceries
hospital consultation fee ref#8409,242.18,2026-02-24,Healthcare
kroger purchase deli,47.78,2026-02-11,Groceries
dental office - x-ray,76.95,2026-02-18,Healthcare
dental office purchase x-ray,238.43,2026-02-09,Healthcare
formula at target ref#2554,143.11,2026-02-22,Baby Items
disney plus concert tickets ref#4362,102.45,2026-02-23,Entertainment
mobile deposit 2668,49.83,2026-02-04,Unknown
whole foods purchase bakery,142.02,2026-02-14,Groceries
cvs pharmacy - consultation fee ref#2285,440.34,2026-02-22,Healthcare
delivery at doordash,80.0,2026-02-08,Restaurants
payment to subway for takeout,44.76,2026-02-16,Restaurants
doordash - dinner ref#6743,39.01,2026-02-27,Restaurants
bread milk eggs at trader joes ref#8523,157.55,2026-02-19,Groceries
delivery at chipotle ref#3079,36.28,2026-02-12,Restaurants
best buy purchase shoes,215.32,2026-02-17,Shopping
hospital consultation fee,124.51,2026-02-06,Healthcare
bp purchase fuel,100.0,2026-02-14,Transportation
buybuybaby - crib,43.47,2026-02-15,Baby Items
parking garage purchase fuel ref#1586,33.01,2026-02-19,Transportation
ride to at metro,73.01,2026-02-06,Transportation
prescription pickup at cvs pharmacy,484.84,2026-02-02,Healthcare
steam purchase streaming service,80.32,2026-02-17,Entertainment
meat department at trader joes,158.45,2026-02-20,Groceries
dinner at chipotle ref#5157,20.72,2026-02-02,Restaurants
ubereats purchase coffee,20.67,2026-02-02,Restaurants
payment to hulu for monthly subscription,74.85,2026-02-16,Entertainment
parking garage ride to,100.0,2026-02-13,Transportation
payment to disney plus for concert tickets,78.55,2026-02-22,Entertainment
movie tickets at netflix ref#9643,39.55,2026-02-05,Entertainment
taxi purchase gas ref#1344,100.0,2026-02-02,Transportation
payment to ubereats for breakfast ref#6332,34.46,2026-02-01,Restaurants
subway purchase lunch,80.0,2026-02-15,Restaurants
payment to amazon for onesie,45.76,2026-02-09,Baby Items
payment to publix for bread milk eggs,108.07,2026-02-26,Groceries
payment to disney plus for monthly subscription,150.0,2026-02-20,Entertainment
payment to nike for clothing,252.44,2026-02-21,Shopping
payment to subway for breakfast ref#5281,46.54,2026-02-09,Restaurants
formula at amazon,44.56,2026-02-16,Baby Items
walmart - deli,79.45,2026-02-23,Groceries
publix produce ref#2881,102.16,2026-02-03,Groceries
payment to electric company for monthly service,300.0,2026-02-03,Utilities
grocery at albertsons ref#1272,172.31,2026-02-18,Groceries
online order at nike ref#5876,155.55,2026-02-14,Shopping
steam - game purchase,78.61,2026-02-14,Entertainment
payment to buybuybaby for baby food ref#9221,54.23,2026-02-05,Baby Items
gas at lyft,65.39,2026-02-18,Transportation
cash deposit 3196,312.76,2026-02-26,Unknown
gas at bp,37.24,2026-02-09,Transportation
urgent care purchase checkup,199.68,2026-02-02,Healthcare
fuel at chevron ref#8046,50.54,2026-02-17,Transportation
mobile deposit 1275,157.86,2026-02-24,Unknown
mobile deposit 9732,119.96,2026-02-07,Unknown
payment to kroger for produce ref#3824,106.91,2026-02-23,Groceries
bp purchase gas,80.62,2026-02-18,Transportation
lyft - toll,34.85,2026-02-23,Transportation
netflix game purchase,62.43,2026-03-02,Entertainment
hulu - movie tickets,94.02,2026-02-20,Entertainment
chipotle purchase dinner ref#5485,51.71,2026-02-15,Restaurants
payment to acme corp 8788,190.48,2026-02-14,Unknown
payment to albertsons for bread milk eggs,133.83,2026-02-05,Groceries
wire transfer 4200,132.47,2026-02-01,Unknown
delivery at olive garden,80.0,2026-02-21,Restaurants
copay at cvs pharmacy,395.44,2026-03-01,Healthcare
lyft purchase toll,89.76,2026-02-03,Transportation
ikea - clothing ref#8073,315.48,2026-02-01,Shopping
uber - fuel,100.0,2026-02-08,Transportation
lunch at doordash ref#7207,38.07,2026-02-18,Restaurants
payment to water company for phone service,232.0,2026-02-19,Utilities
chipotle breakfast,35.64,2026-02-15,Restaurants
metro parking fee ref#6509,47.19,2026-02-13,Transportation
water company bill payment ref#2612,249.93,2026-02-16,Utilities
costco grocery,147.92,2026-02-24,Groceries
payment to urgent care for copay,186.61,2026-02-10,Healthcare
payment to cvs pharmacy for checkup,500.0,2026-02-03,Healthcare
doordash coffee,42.39,2026-02-25,Restaurants
starbucks takeout ref#2090,30.84,2026-02-15,Restaurants
electronics at best buy,231.06,2026-02-16,Shopping
kroger purchase weekly shopping,61.45,2026-02-02,Groceries
payment to spectrum for phone service,146.85,2026-02-21,Utilities
payment to whole foods for weekly shopping ref#3017,250.0,2026-02-03,Groceries
coffee at pizza hut ref#1728,22.11,2026-02-06,Restaurants
spotify purchase game purchase,18.67,2026-02-25,Entertainment
hospital medicine,301.64,2026-03-02,Healthcare
starbucks - lunch,18.13,2026-02-22,Restaurants
trader joes purchase grocery ref#2219,82.31,2026-02-24,Groceries
ubereats - breakfast ref#3492,40.44,2026-02-08,Restaurants
cash deposit 4976,18.96,2026-02-06,Unknown
electric company monthly service ref#6365,85.72,2026-02-07,Utilities
shell - parking fee ref#2290,74.8,2026-02-18,Transportation
payment to pizza hut for delivery ref#6657,69.27,2026-02-23,Restaurants
bread milk eggs at albertsons,221.17,2026-02-04,Groceries
electric company purchase bill payment,146.39,2026-02-20,Utilities
lyft parking fee,59.68,2026-02-05,Transportation
kroger purchase bread milk eggs ref#4290,166.79,2026-02-28,Groceries
consultation fee at dr smith clinic,417.16,2026-02-28,Healthcare
payment to babies r us for pacifier,50.82,2026-02-17,Baby Items
payment to amazon for furniture,82.18,2026-03-02,Shopping
safeway - bread milk eggs,128.79,2026-02-06,Groceries
taxi purchase toll ref#3551,64.4,2026-02-07,Transportation
babies r us purchase stroller,61.65,2026-02-07,Baby Items
ubereats purchase lunch,79.33,2026-02-18,Restaurants
taxi purchase transit pass,29.18,2026-02-10,Transportation
payment to bp for gas,100.0,2026-02-09,Transportation
fuel at uber,26.32,2026-02-22,Transportation
transfer to john doe 6113,325.15,2026-02-12,Unknown
nike purchase electronics,157.32,2026-02-04,Shopping
parking garage - ride to ref#9355,100.0,2026-02-11,Transportation
parking fee at parking garage ref#9385,84.64,2026-02-10,Transportation
buybuybaby - stroller ref#5353,81.23,2026-02-20,Baby Items
concert tickets at netflix,28.24,2026-02-15,Entertainment
payment to nike for electronics,347.19,2026-02-19,Shopping
payment to amc theaters for game purchase,24.62,2026-02-06,Entertainment
lab work at cvs pharmacy ref#1489,354.36,2026-02-02,Healthcare
payment to amazon for pacifier ref#4646,77.32,2026-02-25,Baby Items
starbucks - coffee,69.94,2026-02-12,Restaurants
taxi purchase fuel,51.55,2026-02-16,Transportation
crib at amazon,119.17,2026-02-12,Baby Items
costco purchase meat department ref#5341,250.0,2026-02-02,Groceries
lyft parking fee,33.38,2026-03-01,Transportation
pizza hut lunch,24.28,2026-02-15,Restaurants
whole foods grocery ref#3805,88.0,2026-02-18,Groceries
doordash - delivery,37.17,2026-02-12,Restaurants
urgent care purchase prescription pickup,268.29,2026-02-05,Healthcare
walmart deli,130.18,2026-02-16,Groceries
cable at verizon,250.11,2026-02-19,Utilities
